Aacooloma Preschool, NSW
Abacus Kindergarden & Learning Centre, NSW
Abbotsford Primary School, VIC
Abbotsford Public School, NSW
Abbotsleigh, NSW
ABC Day Care Preschool, NSW
ABC Preschool Kindergarten, NSW
Abeles Liberman Preschool, VIC
Abercorn State School, QLD
Aberdare Preschool, NSW
Aberdeen Preschool, NSW
Aberdeen Public School, NSW
Aberfeldie Primary School, VIC
Aberfoyle Hub R-7 School, SA
Aberfoyle Park Kindergarten, SA
Abergowrie State School, QLD
Abermain Public School, NSW
Aboriginal and Islander School, QLD
A B Paterson College, QLD
Acacia Avenue Kindergarten, VIC
Acacia College, VIC
Acacia Hill School, NT
Acacia Ridge Kindergarten, QLD
Acacia Ridge State School, QLD
A Country Cottage Preschool, NSW
A Country Garden Kindergarten, QLD
Acre Woods Child Care Centre, NSW
Active Kids Preschool, NSW
Active Kids Preschool-Long Day Care, NSW
Active Learning Child Care and Kindergarten, VIC
Active Learning International Preschool, NSW
Ada Mary A'Beckett Kindergarten, VIC
Adaminaby Public School, NSW
Adam Road Kindergarten, WA
Adam Road Primary School, WA
Adam Road Primary School Kindergarten Program, WA
Adams Lane Preschool, NSW
Adamstown Heights Preschool, NSW
Adamstown Preschool, NSW
Adamstown Public School, NSW
Adass Israel Preschool Centre, VIC
Adass Israel School, VIC
Adass Israel School, VIC
Adelaide Miethke Kindergarten, SA
Adelaide River School, NT
Adelaide West Special School, SA
Adelong Public School, NSW
Adrienne's Early Learning Centre & Preschool, NSW
Advantage Education Centre, VIC
Adventureland Preschool, NSW
Adventure Preschool Kindergarten, NSW
Aetaomah School, NSW
Afterlee Public School, NSW
AGBU Alexander Primary School, NSW
A G Leech Kindergarten, VIC
Agnes Goode Kindergarten, SA
Agnes Water State School, QLD
Agnew School, QLD
Agnew School, QLD
Agnew School, QLD
Agnew School, QLD
Agnew School, QLD
A Head Start Children’s Centre Pty Ltd, 
Ainslie School, ACT
Airdale Primary School, SA
Airly Primary School, VIC
Airport Preschool, VIC
Airport West Preschool, VIC
Airville State School, QLD
Aitken College, VIC
Aitken Creek Primary School, VIC
Aitkenvale State School, QLD
Ajuga School, NSW
Akuna Kindergarten, SA
Al Amanah College, NSW
Al Amanah College, NSW
Alasan Cottage Preschool, NSW
Alawa Preschool, NT
Alawa Primary School, NT
Albanvale Community Kindergarten, VIC
Albanvale Primary School, VIC
Albany Community Kindergarten, WA
Albany Creek Kindergarten, QLD
Albany Creek State School, QLD
Albany Hills State School, QLD
Albany Primary School, WA
Albany Rise Primary School, VIC
Albany Secondary Education Support Centre, WA
Albert Hall Preschool, NSW
Alberton Primary School, VIC
Alberton Primary School, SA
Albert Park Community Kindergarten, QLD
Albert Park Preschool, VIC
Albert Park Primary School, VIC
Albert Park Public School, NSW
Albert State School, QLD
Albert Street Primary School, VIC
Albion North Primary School, VIC
Albion Park Public School, NSW
Albion Park Rail Public School, NSW
Albion Primary School, VIC
Albuera Street Primary School, TAS
Albury North Public School, NSW
Albury Preschool Kindergarten, NSW
Albury Public School, NSW
Albury West Preschool Centre, NSW
Albury West Public School, NSW
Alcheringa Preschool, NSW
Alchester Village Preschool, VIC
Alcoota School, NT
Aldavilla Public School, NSW
Aldercourt Primary School, VIC
Alderley Kindergarten and Preschool, QLD
Aldgate Primary School, SA
Aldinga Junior Primary School, SA
Aldinga Primary School, SA
Alekarenge Community Education Centre, NT
ALESCO Learning Centre, NSW
ALESCO Learning Centre, NSW
Alexander Magit Preschool, VIC
Alexander Thomson Preschool, VIC
Alexandra Bay State School, QLD
Alexandra Hills State School, QLD
